Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
Asia Hotel Bangkok (SHA Plus+),119,4.0,7.9,"English, Thai",27771,"296 Phayathai Road, Siam, Bangkok, Thailand, 10400",0,0,1,1,0,1,0,1,1,1,1,1,0,0,176.0,7.6,7.5,9.1,7.5,7.6,Bangkok
Rembrandt Hotel & Suites (SHA Plus+),89,4.5,8.3,"English, Thai",6001,"19 Sukhumvit Soi 18, Klong Toei, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,0,1,1,1,0,0,32.0,8.5,8.1,8.4,8.3,8.6,Bangkok
Dream Hotel Bangkok (SHA Plus+),77,4.5,8.4,"English, Thai",16109,"10 Sukhumvit Soi 15, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,1,0,31.0,8.8,8.1,8.5,8.4,8.7,Bangkok
VIX Bangkok @ Victory Monument,68,3.0,9.2,"English, Chinese [Mandarin], Thai",1439,"13-15 Thanon Ratchawithi, Chatuchak, Bangkok, Thailand, 10400",1,0,0,0,0,1,0,1,0,0,1,1,0,0,24.0,9.3,9.0,9.5,9.4,9.3,Bangkok
The Berkeley Hotel Pratunam (SHA Plus+),238,5.0,8.2,"English, Chinese [Mandarin], Thai",61617,"559 Ratchathewi, Pratunam, Bangkok, Thailand, 10400",0,0,0,1,1,1,0,1,0,1,1,1,0,0,128.0,8.3,8.1,8.8,8.2,8.1,Bangkok
Ambassador Hotel Bangkok (SHA Plus+),120,4.0,7.2,"English, Thai",22016,"171 Sukhumvit Rd., Soi 11, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,0,1,0,1,1,1,1,1,0,0,99.0,7.0,6.9,8.4,6.8,6.9,Bangkok
Grand President Bangkok (SHA Plus+),133,4.0,7.1,"English, Chinese [Mandarin], Thai",12027,"16 Sukhumvit Soi 11 , Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,18.0,6.8,6.7,8.3,7.1,7.0,Bangkok
Solitaire Bangkok Sukhumvit 11,83,4.5,8.2,"English, Thai",9231,"75/23 Soi Sukhumvit 13 Sukhumvit Road, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,1,1,1,1,0,0,25.0,8.6,8.1,8.1,8.5,8.2,Bangkok
Grand 5 Hotel & Plaza Sukhumvit (SHA Extra Plus),82,4.0,7.9,"English, Thai",3004,"87 Sukhumvit Road Soi 5, Klongtoey Nua, Wattana, Bangkok, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,0,1,0,1,0,1,1,1,0,0,25.0,8.1,7.3,8.6,7.9,7.6,Bangkok
Mövenpick Hotel Sukhumvit 15 Bangkok,96,5.0,8.3,"English, Thai",3768,"Soi Sukhumvit 15, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,34.0,8.7,8.2,7.9,8.4,8.6,Bangkok
Asia Hotel Bangkok (SHA Plus+),121,4.0,7.9,"English, Thai",27771,"296 Phayathai Road, Siam, Bangkok, Thailand, 10400",0,0,1,1,0,1,0,1,1,1,1,1,0,0,176.0,7.6,7.5,9.1,7.5,7.6,Bangkok
JC KEVIN SATHORN BANGKOK HOTEL (SHA Plus+),194,5.0,8.1,"English, Chinese [Mandarin], Thai",9358,"36 Narathiwas-Ratchanakarin Road, Yannawa, Sathorn, Bangkok, Sathorn, Bangkok, Thailand, 10120",0,0,1,1,1,1,0,1,0,0,1,1,0,1,51.0,8.4,8.2,7.3,8.6,8.6,Bangkok
Centara Grand at Central World Hotel (SHA Plus+),630,5.0,8.7,"English, Arabic, Chinese [Mandarin], Dutch, Filipino, French, German, Indonesian, Japanese, Korean, Thai",17550,"999/99 Rama 1 Road, Patumwan, Siam, Bangkok, Thailand, 10330",0,0,1,1,1,1,1,1,0,1,1,1,0,0,17.0,8.8,8.7,9.3,8.5,8.7,Bangkok
Divalux Resort and Spa Bangkok Suvarnabhumi Airport (SHA Plus+),125,5.0,7.7,"English, Thai",2422,"88 Moo 3, Bang Sao Thong, Suvarnabhumi Airport, Bangkok, Thailand, 10570",0,0,0,1,1,1,1,1,0,1,1,1,0,0,15.0,8.0,8.1,7.1,8.0,8.1,Bangkok
Siam Eco Hostel,36,2.0,9.4,"English, Thai",1981,"486/106-107 Petchaburi Road, Thanon Petchaburi, Ratchathewi,, Siam, Bangkok, Thailand, 10400",1,0,0,0,0,0,0,1,0,0,0,1,0,0,30.0,9.5,9.2,9.7,9.6,9.5,Bangkok
Rembrandt Hotel & Suites (SHA Plus+),139,4.5,8.3,"English, Thai",6001,"19 Sukhumvit Soi 18, Klong Toei, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,0,1,1,1,0,0,32.0,8.5,8.1,8.4,8.3,8.6,Bangkok
