Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Panviman Resort Koh Phangan (SHA Extra Plus),JMI,5 star,"8.8
Excellent
2,042 reviews",,"2,042 reviews","22/1 Moo 5, Thong Nai Pan Noi, Ko Pha-ngan, Thailand, 84280",3,2016,94,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,3,9.1,8.7,8.7,8.9,9.1
Santhiya Koh Phangan Resort & Spa,294,5 star,"8.5
Excellent
2,679 reviews","English, Thai","2,679 reviews","22/7 Moo 5, Bantai, Thong Nai Pan Noi, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,3,9.1,8.8,8.1,9.2,9.2
Kawarin Secret Hut Hotel and Resort,272,4 star,"8.6
Excellent
64 reviews","English, Thai",64 reviews,"54/4 Moo 2 Bantai, Baan Tai, Ko Pha-ngan, Thailand, 84280",,,,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,4,8.9,8.1,8.3,9.2,8.8
Maehaad Bay Resort (SHA Extra Plus),JMI,4 star,"8.3
Excellent
1,486 reviews","English, Thai","1,486 reviews","Unnamed Road, Mae Haad, Ko Pha-ngan, Thailand, 84280",,,,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,3,8.9,8.3,8.1,8.7,8.6
Loyfa Natural Resort,158,3 star,"8.0
Excellent
1,001 reviews","English, Arabic, German, Hindi, Thai","1,001 reviews","14/1 Moo 8, Sri Thanu, Ko Pha-ngan, Thailand, 84280",,,,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,0,8.3,8.1,8.1,8.2,8.4
Sunset Hill Boutique Resort (SHA Extra Plus),399,4 star,"8.4
Excellent
996 reviews","English, Burmese, Dutch, Filipino, German, Thai",996 reviews,"81/15 Moo 8 Koh Phangan, Haad Chao Phao, Ko Pha-ngan, Thailand, 84280",2,30,1,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,0,8.7,8.3,8.1,8.8,8.9
Varivana Resort Koh Phangan (SHA Extra Plus),437,4 star,"8.9
Excellent
784 reviews","English, Thai",784 reviews,"79 Moo 4, Wok Tum, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,0,9.3,8.9,8.2,9.2,8.8
Zama Resort Koh Phangan,199,3 star,"9.2
Exceptional
69 reviews","English, Burmese, French, German, Italian, Thai",69 reviews,"81/5 Moo8 Haadchaophao, Thong -Sala, Haad Yao, Suratthani, Haad Chao Phao, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,0,9.5,9.0,8.8,9.8,9.1
High Life Bungalow,274,3 star,"8.5
Excellent
1,252 reviews","English, Thai","1,252 reviews","85/5 Moo 8 Haad Yao, Haad Son, Ko Pha-ngan, Thailand, 84280",,,,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,3,8.5,8.2,8.9,7.9,8.3
Buri Rasa Koh Phangan,654,4.5 star,"9.2
Exceptional
874 reviews","English, Burmese, Chinese [Mandarin], Filipino, French, Hebrew, Hindi, Khmer, Lao, Thai",874 reviews,"55 Moo 5, Thong Nai Pan Noi Beach, Baan Tai, Thong Nai Pan Noi, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,3,9.5,9.0,9.2,9.2,9.5
Panviman Resort Koh Phangan (SHA Extra Plus),772,5 star,"8.8
Excellent
2,042 reviews","English, German, Thai","2,042 reviews","22/1 Moo 5, Thong Nai Pan Noi, Ko Pha-ngan, Thailand, 84280",3,2016,94,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,3,9.1,8.7,8.7,8.9,9.1
Salad Buri Resort & Spa (SHA Plus+),250,4 star,"7.6
Very good
1,440 reviews","English, French, Thai","1,440 reviews","60/2 Moo 8,, Haad Salad, Ko Pha-ngan, Thailand, 84280",3,48,1,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,0,8.0,7.5,7.6,7.8,7.6
Da Kanda Villa Beach Resort,280,3 star,"7.5
Very good
1,267 reviews","English, Burmese, French, Thai","1,267 reviews","19 Moo 1, Thong Sala, Ko Pha-ngan, Thailand, 84280",2,38,1,False,False,True,False,True,True,True,False,False,True,True,True,False,False,False,False,0,7.4,7.2,7.8,7.5,7.8
