Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
PP Princess Resort (SHA Extra Plus),267,4 star,"8.2
Excellent
2,722 reviews","English, Thai","2,722 reviews","103 Moo 7 Ao Nang, Muang, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",3,2014,89,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,16,8.0,8.0,9.3,7.4,7.9
Phi Phi Banyan Villa (SHA Extra Plus),164,3 star,"8.1
Excellent
5,471 reviews","English, Thai","5,471 reviews","Beach Road, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",2,62,1,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,8,8.1,7.9,9.1,7.7,8.2
ChaoKoh Phi Phi Hotel & Resort (SHA Extra Plus),129,3.5 star,"8.4
Excellent
2,295 reviews","English, Thai","2,295 reviews","157 Moo 7 , Aonang,, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,19,8.3,8.0,9.3,8.3,8.1
Panmanee Hotel,JMI,2.5 star,"8.4
Excellent
3,363 reviews","English, Thai","3,363 reviews","287Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,6,8.5,7.5,9.2,8.6,8.3
Phi Phi Island Cabana Hotel (SHA Extra Plus),234,4 star,"7.3
Very good
5,068 reviews","English, Thai","5,068 reviews","58 Moo7 Tambol Ao-nang Amphur Muang, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",220,,1990,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,9,7.0,7.0,9.0,7.0,7.2
Phi Phi Harbour View Hotel (SHA Extra Plus),252,4 star,"8.3
Excellent
879 reviews","English, Chinese [Mandarin], Thai",879 reviews,"58/1 Moo 7 Au-Nang Amphur Mung, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,7,8.1,7.9,9.5,8.5,7.8
Phi Phi CoCo Beach Resort (SHA Extra Plus),398,4 star,"8.3
Excellent
1,789 reviews","English, Thai","1,789 reviews","299 Moo 7 PhiPhi Island, Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,9,8.8,8.5,8.4,8.4,8.0
Ibiza House Phi Phi,152,1.5 star,"7.4
Very good
2,477 reviews","English, Thai","2,477 reviews","Moo 7 Loh Dalum Bay , Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",,,,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,3,7.1,7.2,8.5,6.4,7.3
Phi Phi The Beach Resort,216,3 star,"8.2
Excellent
6,419 reviews","English, Burmese, Catalan, Chinese [Mandarin], French, Spanish, Thai","6,419 reviews","177 Moo 7, Long Beach, Ko Phi Phi, Thailand, 81210",1,220,85,False,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,15,8.2,7.9,8.7,8.1,8.1
P.P. Palmtree Resort,162,3.5 star,"7.8
Very good
3,086 reviews","English, Thai","3,086 reviews","129 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",1,220,65,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0,8.2,7.5,8.6,7.5,7.9
PP Princess Resort (SHA Extra Plus),267,4 star,"8.2
Excellent
2,722 reviews","English, Thai","2,722 reviews","103 Moo 7 Ao Nang, Muang, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",3,2014,89,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,16,8.0,8.0,9.3,7.4,7.9
SAii Phi Phi Island Village,530,5 star,"8.6
Excellent
5,387 reviews","English, Chinese [Mandarin], Dutch, French, German, Italian, Spanish, Thai","5,387 reviews","49 Moo 8 Tambon Ao Nang, Loh Ba Gao, Ko Phi Phi, Thailand, 81000",,,,True,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,9,9.2,8.9,8.7,8.8,8.9
Phi Phi Hotel,131,3 star,"8.0
Excellent
6,920 reviews","English, Thai","6,920 reviews","129 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",5,64,1,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,5,7.8,7.3,9.2,7.6,7.9
Phi Phi Cliff Beach Resort (SHA Extra Plus),107,3 star,"8.1
Excellent
1,381 reviews","English, Malay, Thai","1,381 reviews","279 Moo.7 Ao-nang Maung Krabi , Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,26,8.1,7.9,8.4,9.0,8.3
Phuphaya Seaview Resort - Adults Only,JMI,3 star,"6.9
Good
741 reviews","English, Thai",741 reviews,"., Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",220,2019,2012,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,0,7.3,6.8,6.5,6.4,7.4
Phi Phi Bayview Resort (SHA Extra Plus),123,3 star,"7.4
Very good
4,226 reviews","English, Filipino, Thai","4,226 reviews","69 Moo 7, Leam Hin Beach Aonang, Mueng , Krabi, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",1,220,160,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,3,7.5,7.0,7.9,7.4,7.3
Phi Phi Holiday Resort (SHA Extra Plus),JMI,4 star,"8.4
Excellent
1,854 reviews","English, Thai","1,854 reviews","Lam Tong Beach, Laem Tong Beach, Ko Phi Phi, Thailand, 81000",1,220,162,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True,5,8.6,8.3,8.9,8.6,8.7
Phi Phi Maiyada Resort (SHA Certified),77,3 star,"7.2
Very good
2,881 reviews","English, Arabic, Chinese [Mandarin], Malay, Spanish, Thai, Turkish","2,881 reviews","Lohdalumbay 144 Moo 7 Aonang Muang Krabi, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",1,220,90,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,False,3,7.5,6.8,7.2,7.8,7.7
P2 Wood Loft,117,0 star,"8.7
Excellent
2,294 reviews","English, Thai","2,294 reviews","139/10, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,11,8.9,8.1,9.2,8.9,8.8
ChaoKoh Phi Phi Hotel & Resort (SHA Extra Plus),129,3.5 star,"8.4
Excellent
2,295 reviews","English, Thai","2,295 reviews","157 Moo 7 , Aonang,, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,19,8.3,8.0,9.3,8.3,8.1
The Cobble Beach Hotel (SHA Certified),JMI,3 star,"7.1
Very good
1,078 reviews","English, Chinese [Mandarin], Thai","1,078 reviews","9/12 Moo 7, Phi Phi Islands, T. Ao-Nang, A. Muang, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",3,39,1,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,3,6.8,6.9,6.8,6.7,7.8
Phi Phi Anita Resort,122,3 star,"7.7
Very good
1,668 reviews","English, Thai","1,668 reviews","108 Moo 7 Aonang Muang, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",1,60,1,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,3,7.6,7.2,8.6,6.4,7.8
PP Charlie Beach Resort (SHA Extra Plus),177,3 star,"7.2
Very good
3,234 reviews","English, Thai","3,234 reviews","103 Moo 7, PP Island, Muang, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",2,44,1,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,0,6.6,7.3,8.5,5.5,7.1
Phi Phi Natural Resort (SHA Extra Plus),205,3.5 star,"7.9
Very good
1,928 reviews","English, Thai","1,928 reviews","53 Moo 8, Laem Tong Beach, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,0,8.1,7.7,8.3,8.1,8.1
Phi Phi Island Cabana Hotel (SHA Extra Plus),234,4 star,"7.3
Very good
5,068 reviews","English, Thai","5,068 reviews","58 Moo7 Tambol Ao-nang Amphur Muang, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",220,,1990,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,9,7.0,7.0,9.0,7.0,7.2
Phi Phi Andaman Legacy Resort (SHA Extra Plus),152,3 star,"7.3
Very good
2,026 reviews","English, Thai","2,026 reviews","1/2 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,False,False,True,False,True,True,True,True,False,False,False,True,False,0,7.4,7.0,7.9,7.5,7.5
Chao Koh Hostel,39,1 star,"8.0
Excellent
269 reviews","English, Thai",269 reviews,"157 Moo.7 Aonang Sub -district Muaeng Krabi District 81210, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,0,7.7,7.3,8.8,8.3,8.0
Phi Phi Villa Resort (SHA Extra Plus),161,3 star,"7.8
Very good
5,451 reviews","English, Thai","5,451 reviews","1/5 Moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,13,7.3,7.4,8.1,6.7,7.3
Phi Phi Green House,78,2 star,"7.4
Very good
445 reviews","English, Thai",445 reviews,"96 Moo 7, Aonang, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",0,2013,12,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0,7.1,6.4,8.2,7.3,7.7
Viking Nature Resort,JMI,3 star,"8.5
Excellent
5,518 reviews","English, Thai","5,518 reviews","222 moo 7, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",2007,,,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,5,8.1,8.2,8.4,7.3,8.1
Paradise Resort Phi Phi (SHA Extra Plus),140,3 star,"7.9
Very good
2,383 reviews","English, Thai","2,383 reviews","138/1 M.7, Long Beach, Koh Phi Phi, T.Aow Nang, A.Muang, Krabi, Thailand., Long Beach, Ko Phi Phi, Thailand, 81210",40,2012,220,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,0,8.0,7.4,9.0,7.7,7.8
Coco Bella Resort,133,2.5 star,"7.8
Very good
330 reviews","English, Thai",330 reviews,"299 Moo 7, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",,,,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,0,8.1,7.3,8.5,8.0,7.8
Phi Phi Indigo Hotel,103,3 star,"8.0
Excellent
637 reviews","English, Thai",637 reviews,"Ban Thai Road, Ao Lo Dalam, Ko Phi Phi, Thailand, 81000",18,2561,2552,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,4,8.3,7.3,8.6,8.4,7.9
Paradise Pearl Bungalow,120,3 star,"8.3
Excellent
2,739 reviews","English, Hindi, Thai","2,739 reviews","Phi Phi Island (Long beach), 138 Moo7, T.Ao-nang, Ton Sai Bay, Ko Phi Phi, Thailand, 81210",220,2011,1995,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0,8.1,7.8,9.1,7.6,7.8
Phi Phi Long Beach Resort and Villa (SHA Plus+),178,3.5 star,"7.3
Very good
397 reviews","English, Thai",397 reviews,"203 Moo 7, Long Beach, Ko Phi Phi, Thailand, 81000",,,,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,0,7.0,6.5,8.7,7.4,7.4
PP Nice Beach Resort,49,2 star,"6.9
Good
375 reviews","English, Thai",375 reviews,"17/1 Moo 7 Aonang Muang, Ton Sai Bay, Ko Phi Phi, Thailand, 81000",1,13,1,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,6,6.6,6.1,8.3,5.6,7.2
Phi Phi Dream Guest House,JMI,1 star,"7.4
Very good
585 reviews","English, Thai",585 reviews,"173 M7 Tonsai Bay, Ao Lo Dalam, Ko Phi Phi, Thailand, 81210",,,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,7.3,6.1,7.4,6.1,7.4
HIP Seaview Resort @ Phi Phi,143,3 star,"8.1
Excellent
1,477 reviews","English, Burmese, Thai","1,477 reviews","166 Moo 7, Ao Nang, Muang Krabi, Krabi, Thailand, Long Beach, Ko Phi Phi, Thailand, 81210",1,220,26,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,0,8.5,7.4,8.1,8.9,8.1
