Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Thavorn Beach Village Resort & Spa Phuket (SHA Plus+),JMI,5 star,"8.3
Excellent
3,817 reviews","English, Chinese [Mandarin], Filipino, Russian, Thai","3,817 reviews","6/2 Moo 6 Kamala, Kathu, Kamala, Phuket, Thailand, 83150",,,,False,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,7,8.4,8.4,8.1,8.1,8.6
Thavorn Palm Beach Resort Phuket (SHA Plus+),187,5 star,"8.4
Excellent
1,989 reviews","English, Chinese [Mandarin], Russian, Thai","1,989 reviews","311 Patak Road, Karon Beach, Amphur Muang, Karon, Phuket, Thailand, 83100",2,220,221,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,True,6,8.4,8.4,8.7,8.1,8.7
Woovo Phuket Patong,139,4 star,"8.8
Excellent
735 reviews","English, Chinese [Mandarin], German, Russian, Thai, Turkish",735 reviews,"25, Rajpathanusorn Road, Patong, Kathu, Phuket, Patong, Phuket, Thailand, 83150",,,,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,13,9.2,8.5,8.4,8.6,8.6
Hop Inn Phuket (SHA Extra Plus),JMI,2 star,"8.3
Excellent
1,109 reviews","English, Thai","1,109 reviews","14/19 Moo.6, Thepkasattri Rd.,Ratsada Sub District, Mueang Phuket District, Phuket Town, Phuket, Thailand, 83000",,,,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,3,8.6,7.8,8.5,8.3,8.8
Aleenta Resort (SHA Plus+),799,5 star,"8.5
Excellent
1,686 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Czech, Filipino, French, German, Hindi, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish, Thai, Vietnamese","1,686 reviews","33 Moo 5 Tambol Khok Kloy, Amphur Takua Tung, Natai Beach, Phang-nga, Khok Kloy, Phuket, Thailand, 82140",,,,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,5,9.0,8.6,7.6,9.0,8.9
Royal Phuket City Hotel (SHA Extra Plus),JMI,5 star,"9.0
Exceptional
1,531 reviews","English, Chinese [Mandarin], Thai","1,531 reviews","154 Phang-Nga Road Munag, Phuket Town, Phuket, Thailand, 83000",1,4,19,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,5,9.1,9.0,9.2,9.3,9.1
Kokotel Phuket Nai Yang Beach (SHA Extra Plus),141,4 star,"8.8
Excellent
979 reviews","English, Thai",979 reviews,"199 Moo 1, Saku, Thalang, 83110 Phuket, Thailand, Phuket Airport, Phuket, Thailand, 83110",,,,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,7,9.2,8.5,8.8,9.1,9.0
Patong Resort Hotel (SHA Plus+),JMI,4 star,"8.0
Excellent
5,328 reviews","English, Thai","5,328 reviews","208 Raj-uthit 200 Pee Road, Patong, Phuket, Thailand",8,325,3,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,12,7.9,7.7,8.9,7.4,7.8
Oceanfront Beach Resort (SHA Extra Plus),258,5 star,"8.5
Excellent
1,263 reviews","English, Thai","1,263 reviews","320/2 Phabaramee Road, Patong,Kathu, Phuket, 83150 Thailand, Patong, Phuket, Thailand, 83150",,,,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,16,8.7,8.7,8.4,8.5,8.6
The Sea Galleri by Katathani (SHA Extra plus),231,5 star,"8.7
Excellent
2,003 reviews","English, Thai","2,003 reviews","216/9 Koktanod Road (Kata-Saiyuan) Kata Beach, Karon, Kata, Phuket, Thailand, 83100",2,2015,159,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,11,9.0,8.8,8.2,9.3,8.9
Aleenta Resort (SHA Plus+),799,5 star,"8.5
Excellent
1,686 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Czech, Filipino, French, German, Hindi, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish, Thai, Vietnamese","1,686 reviews","33 Moo 5 Tambol Khok Kloy, Amphur Takua Tung, Natai Beach, Phang-nga, Khok Kloy, Phuket, Thailand, 82140",,,,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,5,9.0,8.6,7.6,9.0,8.9
The Shore at Katathani - Adults only (SHA Plus+),"1,574",5 star,"9.1
Exceptional
2,865 reviews","English, Chinese [Mandarin], German, Italian, Russian, Thai","2,865 reviews","14 Kata Noi Road, Muang, Kata, Phuket, Thailand, 83100",,,,True,False,False,True,False,True,True,True,False,True,True,True,False,False,True,False,0,9.5,9.3,9.0,9.4,9.5
The Vijitt Resort Phuket (SHA Extra Plus),399,5 star,"8.5
Excellent
1,281 reviews","English, Thai","1,281 reviews","16 Moo 2, Viset Road, Amphur Muang, Rawai, Phuket, Thailand, 83130",,,,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,3,8.8,8.6,7.9,8.8,9.0
"Splash Beach Resort, Mai Khao Phuket (SHA Plus+)",JMI,5 star,"8.2
Excellent
1,809 reviews",,"1,809 reviews","65 Moo 4, Mai Khao Soi 4, Mai Khao , Phuket 83110 , Thailand, Mai Khao, Phuket, Thailand, 83110",,,,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,0,False,False,False,False,False
Beyond Resort Kata (SHA Plus+),JMI,4 star,"8.1
Excellent
3,399 reviews","English, Russian, Thai","3,399 reviews","1 Soi Pakbang, Kata, Phuket, Thailand, 83100",275,1990,220,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,0,8.0,7.7,9.2,7.8,7.8
